Word,Count
OISOLnOO,2
OISO(),2
wrong,2
SetIndent(),2
verbose,2
OIEO(),2
doing,2
RestoreDefaultColors(),2
SetBGColor(),2
needs,2
unique_lock,2
means,2
SetBoolsColor(),2
increases,2
bit,2
names,2
ass,2
SOLnOO(),2
SaveColors(),2
run,2
mainMutex,2
\off,\,2
know,2
load,2
mutex),2
nThreadCntr,2
I'm,2
explained,2
specific,2
compiler,2
OIEOOO,2
anyway,2
EOLnOO(),2
By,2
\"\-="\\,2
equals,2
avoid,2
Initially,2
getFGColorHtml(),2
able,2
Always,2
output,2
getIntsColor(),2
pass,2
here:,2
newline,2
fmt,2
Based,2
NOn(),2
A),2
checking,2
D),1
filtered,1
job,1
protected,1
\char,\,1
annoying,1
new-line-print,1
changed:,1
birth,1
\dtor,\,1
basis,1
someone,1
unused,1
correct,1
\counting,\,1
unlocks,1
sorted,1
parts/layers,1
pre-set,1
store,1
did,1
\0,\,1
FIRST,1
clear,1
\example,\,1
consists,1
reverse,1
lock/mutex,1
sg,1
extension,1
Indent()/Outdent(),1
increase,1
uses,1
based,1
clrFGhtml;,1
\names,\,1
mess,1
\ended),\,1
We,1
Whenever,1
failure,1
\module,\,1
let's,1
\file,\,1
issues:,1
legacy,1
ImmediateWriteString(),1
When,1
cpp17,1
\also,\,1
summarize,1
Reference-counting,1
unique,1
had,1
https://www.intel.com/content/www/us/en/developer/articles/tool/oneapi-standalone-components.html#inspector,1
Visualizer:,1
pinpoint,1
added,1
binary,1
NL,1
bring,1
\set,\,1
Example:,1
everything,1
Application,1
accomplish,1
well:,1
reader,1
die,1
There,1
independent,1
Contains,1
Inspector,1
\something,\,1
obviously,1
invokes,1
\race,\,1
maintain,1
program,1
lead,1
stackoverflow),1
quickly,1
building,1
deleted,1
care,1
shut,1
basically,1
variables,1
myself,1
applied,1
\process,\,1
latter,1
printouts,1
pimpl,1
\disabled,\,1
directory,1
CON_TITLE,1
\fails,\,1
Decision:,1
https://github.com/GPMueller/mwe-cpp-exception,1
per-module,1
newest,1
described,1
answer,1
Only,1
left,1
overcome,1
\completely,\,1
formatter,1
LogState,1
\WriteFormattedTextEx(),\,1
Known,1
internal,1
\unsafe"\\,1
probably,1
holding,1
impl,1
Other,1
decreases,1
initializing,1
~CConsoleImpl(),1
\purpose,\,1
nKeep,1
\private,\,1
thru,1
down),1
Size,1
=,1
oldClrFGhtml,1
Functions,1
Verifier:,1
Define,1
DWORD,1
gets,1
helpful,1
minwindef.h,1
appearing,1
https://stackoverflow.com/questions/11665829/how-can-i-print-stack-trace-for-caught-exceptions-in-c-code-injection-in-c/11674810#11674810,1
one,1
An,1
Foreground,1
It,1
saw,1
\%),\,1
specified,1
I've,1
\parameter"\,\,1
createLogFile,1
\banana"\);\,1
