Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,3,4441,2654,1662,366,844,407,943,5943,14,22
C:\__PR00F__\___developing___\projects\Console\CConsole\src,3,4441,2654,1662,366,844,407,943,5943,14,22
